Id,Label,name,Degree
n142,Jens Lohr,Jens Lohr,26
n143,Jiang Zhu,Jiang Zhu,26
n144,Jon Aster,Jon Aster,26
n145,Justine Roderick,Justine Roderick,32
n146,Kaylyn Williamson,Kaylyn Williamson,26
n147,Kimberly Stegmaier,Kimberly Stegmaier,40
n148,Leonard Shultz,Leonard Shultz,32
n149,Manching Ku,Manching Ku,26
n150,Matthew Cotton,Matthew Cotton,26
n151,Michael Brehm,Michael Brehm,32
n152,Michael Kluk,Michael Kluk,26
n153,Michelle Kelliher,Michelle Kelliher,32
n154,Mohit Jain,Mohit Jain,26
n155,Serena Silver,Serena Silver,26
n156,Claudia Villicaña,Claudia Villicaña,2
n157,Grisel Cruz,Grisel Cruz,2
n158,A Beesley,A Beesley,17
n159,A Charles,A Charles,17
n160,A Stirnweiss,A Stirnweiss,17
n161,C Cole,C Cole,9
n162,E Ferrari,E Ferrari,17
n163,G Arndt,G Arndt,9
n164,M Howlett,M Howlett,9
n165,R Endersby,R Endersby,9
n166,T Failes,T Failes,9
n167,Amaury Fernández-Montalván,Amaury Fernández-Montalván,10
n168,Benjamin Bader,Benjamin Bader,10
n169,Bernard Haendler,Bernard Haendler,13
n170,Dieter Moosmayer,Dieter Moosmayer,10
n171,Jessica Schulze,Jessica Schulze,10
n172,Marie Jung,Marie Jung,10
n173,Martin Philpott,Martin Philpott,67
n174,Norbert Schmees,Norbert Schmees,10
n175,Susanne Müller,Susanne Müller,61
n176,Uwe Eberspächer,Uwe Eberspächer,10
n177,Ali Shilatifard,Ali Shilatifard,8
n178,Ananda Roy,Ananda Roy,8
n179,Cheng-Ming Chiang,Cheng-Ming Chiang,18
n180,David Price,David Price,8
n181,Joan Conaway,Joan Conaway,8
n182,Payel Ghatak,Payel Ghatak,8
n183,Ronald Conaway,Ronald Conaway,8
n184,Brian Robinson,Brian Robinson,9
n185,Carlos Cordon-Cardo,Carlos Cordon-Cardo,9
n186,Hyejin Cho,Hyejin Cho,9
n187,John Wilkinson,John Wilkinson,9
n188,Jun Qi,Jun Qi,124
n189,Lloyd Trotman,Lloyd Trotman,9
n190,Mireia Castillo-Martin,Mireia Castillo-Martin,9
n191,Tali Herzka,Tali Herzka,9
n192,David Frank,David Frank,10
n193,Erik Nelson,Erik Nelson,10
n194,Martha Wadleigh,Martha Wadleigh,10
n195,Michael Xiang,Michael Xiang,10
n196,Patricia Toniolo,Patricia Toniolo,10
n197,Richard Stone,Richard Stone,10
n198,Robert Cerulli,Robert Cerulli,10
n199,Sarah Walker,Sarah Walker,10
n200,Bhavin Shah,Bhavin Shah,14
n201,Bryce Portier,Bryce Portier,14
n202,Jianting Sheng,Jianting Sheng,14
n203,John Valenta,John Valenta,14
n204,Kapil Bhalla,Kapil Bhalla,14
n205,Karissa Peth,Karissa Peth,14
n206,Leasha Schaub,Leasha Schaub,14
n207,Melissa Rodriguez,Melissa Rodriguez,14
n208,Ming Zhan,Ming Zhan,14
n209,Santhana Devaraj,Santhana Devaraj,14
n210,Sunil Sharma,Sunil Sharma,14
n211,Swaminathan Iyer,Swaminathan Iyer,14
n212,Andrew Rice,Andrew Rice,1
n213,Gillian Horne,Gillian Horne,3
n214,Helen Stewart,Helen Stewart,3
n215,Sarah Bastow,Sarah Bastow,3
n216,A Look,A Look,12
n217,Jessica Tesell,Jessica Tesell,12
n218,Lewis Silverman,Lewis Silverman,12
n219,Marian Harris,Marian Harris,12
n220,Bjoern Chapuy,Bjoern Chapuy,15
n221,Charles Lin,Charles Lin,33
n222,Elaine Reichert,Elaine Reichert,15
n223,Heather Sun,Heather Sun,15
n224,John Doench,John Doench,15
n225,Kelly Yeda,Kelly Yeda,15
n226,Margaret Shipp,Margaret Shipp,15
n227,Margaretha Roemer,Margaretha Roemer,15
n228,Michael McKeown,Michael McKeown,15
n229,Peter Rahl,Peter Rahl,15
n230,Richard Young,Richard Young,44
n231,Scott Rodig,Scott Rodig,15
n232,Anna Belkina,Anna Belkina,3
n233,Barbara Nikolajczyk,Barbara Nikolajczyk,3
n234,Gerald Denis,Gerald Denis,5
n235,Brenton Paolella,Brenton Paolella,24
n236,Brian Nguyen,Brian Nguyen,24
n237,Fredrik Swartling,Fredrik Swartling,24
n238,Furong Yu,Furong Yu,24
n239,Guillaume Bergthold,Guillaume Bergthold,24
n240,Kun-Wei Liu,Kun-Wei Liu,24
n241,Mark Kieran,Mark Kieran,24
n242,Nujsaubnusi Vue,Nujsaubnusi Vue,24
n243,Pratiti Bandopadhayay,Pratiti Bandopadhayay,24
n244,Rameen Beroukhim,Rameen Beroukhim,43
n245,Rhamy Zeid,Rhamy Zeid,37
n246,Robert Wechsler-Reya,Robert Wechsler-Reya,24
n247,Sabran Masoud,Sabran Masoud,24
n248,Samuel Cheshier,Samuel Cheshier,24
